Time,Name,Latitude,Longitude,Temperature,Precipitation,WindSpeed,WindDirection
2026-05-06 09:00,札幌,43.0642,141.3469,8.5,0.0,3.2,270
2026-05-06 09:00,東京,35.6895,139.6917,18.6,1.0,4.0,270
2026-05-06 09:00,大阪,34.6937,135.5023,20.0,0.0,3.5,250
2026-05-06 09:00,福岡,33.5902,130.4017,20.4,0.0,2.8,240
2026-05-06 09:00,那覇,26.2124,127.6792,25.0,0.2,5.1,220
2026-05-06 12:00,札幌,43.0642,141.3469,10.1,0.0,3.8,260
2026-05-06 12:00,東京,35.6895,139.6917,20.2,0.5,4.5,260
2026-05-06 12:00,大阪,34.6937,135.5023,21.0,0.0,3.8,240
2026-05-06 12:00,福岡,33.5902,130.4017,22.0,0.0,3.2,230
2026-05-06 12:00,那覇,26.2124,127.6792,26.1,0.1,5.8,210
