executed_at,station_name,period,stat,result_rows,output_file
2026-03-18 23:16:42,旭川,月別,最大値,1,
2026-03-18 23:16:52,旭川,月別,最大値,1,C:\Users\hirok\OneDrive\デスクトップ\amedas_full_impl_package\output\旭川_月別_最大値_20150101_20150106.csv
2026-03-18 23:22:43,東京,年別,最大値,1,
2026-03-18 23:22:46,東京,季節別,最大値,1,
2026-03-18 23:27:07,旭川,月別,最大値,1,
2026-03-20 00:34:33,旭川,月別,最大値,1,
2026-03-20 01:01:11,旭川,月別,最大値,1,
2026-03-20 01:24:05,旭川,月別,最大値,3,
2026-03-20 01:27:18,旭川,月別,最大値,3,
2026-03-20 01:30:08,旭川,月別,最大値,3,
2026-03-20 01:32:19,旭川,月別,最大値,3,
2026-03-20 01:44:24,旭川,月別,最大値,3,
2026-03-20 11:29:44,旭川,月別,最大値,3,
